signal_date,execution_date,end_date,holding_clock,effective_holding_days,sleeve_slot,instrument_id,side,weight,abs_weight,weight_mode,capital_weight,effective_weight,predicted_y,sector,market_cap,size_exposure_z
2025-07-01,2025-07-02,2025-07-16,signal_horizon,9,0,HOOD,long,0.05,0.05,equal_weight,1.0,0.05,0.0088695497632354,Financials,,
2025-07-01,2025-07-02,2025-07-16,signal_horizon,9,0,TSLA,long,0.05,0.05,equal_weight,1.0,0.05,0.0088595760726804,Consumer Discretionary,,
2025-07-01,2025-07-02,2025-07-16,signal_horizon,9,0,CIEN,long,0.05,0.05,equal_weight,1.0,0.05,0.0087269178860499,Information Technology,,
2025-07-01,2025-07-02,2025-07-16,signal_horizon,9,0,VRT,long,0.05,0.05,equal_weight,1.0,0.05,0.0086421009993932,Industrials,,
2025-07-01,2025-07-02,2025-07-16,signal_horizon,9,0,HAL,long,0.05,0.05,equal_weight,1.0,0.05,0.0079520360394953,Energy,,
2025-07-01,2025-07-02,2025-07-16,signal_horizon,9,0,COIN,long,0.05,0.05,equal_weight,1.0,0.05,0.007600400736269,Financials,,
2025-07-01,2025-07-02,2025-07-16,signal_horizon,9,0,LRCX,long,0.05,0.05,equal_weight,1.0,0.05,0.0064240914742476,Unknown,,
2025-07-01,2025-07-02,2025-07-16,signal_horizon,9,0,FAST,long,0.05,0.05,equal_weight,1.0,0.05,0.0057470395060216,Industrials,,
2025-07-01,2025-07-02,2025-07-16,signal_horizon,9,0,CPRT,long,0.05,0.05,equal_weight,1.0,0.05,0.0054433752295538,Industrials,,
2025-07-01,2025-07-02,2025-07-16,signal_horizon,9,0,UBER,long,0.05,0.05,equal_weight,1.0,0.05,0.0054331142983836,Industrials,,
2025-07-01,2025-07-02,2025-07-16,signal_horizon,9,0,ZTS,long,0.05,0.05,equal_weight,1.0,0.05,0.0054195699189604,Health Care,,
2025-07-01,2025-07-02,2025-07-16,signal_horizon,9,0,FIX,long,0.05,0.05,equal_weight,1.0,0.05,0.0050560898970986,Industrials,,
2025-07-01,2025-07-02,2025-07-16,signal_horizon,9,0,DAL,long,0.05,0.05,equal_weight,1.0,0.05,0.0049969098344752,Industrials,,
2025-07-01,2025-07-02,2025-07-16,signal_horizon,9,0,AXON,long,0.05,0.05,equal_weight,1.0,0.05,0.0049366736284971,Industrials,,
2025-07-01,2025-07-02,2025-07-16,signal_horizon,9,0,EME,long,0.05,0.05,equal_weight,1.0,0.05,0.0048738272716773,Industrials,,
2025-07-01,2025-07-02,2025-07-16,signal_horizon,9,0,INTU,short,-0.05,0.05,equal_weight,1.0,-0.05,-0.0040058870966987,Information Technology,,
2025-07-01,2025-07-02,2025-07-16,signal_horizon,9,0,CVX,short,-0.05,0.05,equal_weight,1.0,-0.05,-0.003921365808419,Energy,,
2025-07-01,2025-07-02,2025-07-16,signal_horizon,9,0,HLT,short,-0.05,0.05,equal_weight,1.0,-0.05,-0.003726884380452,Consumer Discretionary,,
2025-07-01,2025-07-02,2025-07-16,signal_horizon,9,0,ABBV,short,-0.05,0.05,equal_weight,1.0,-0.05,-0.0035108872299062,Health Care,,
2025-07-01,2025-07-02,2025-07-16,signal_horizon,9,0,EQIX,short,-0.05,0.05,equal_weight,1.0,-0.05,-0.0034848978195448,Unknown,,
2025-07-01,2025-07-02,2025-07-16,signal_horizon,9,0,MSFT,short,-0.05,0.05,equal_weight,1.0,-0.05,-0.0034767826926981,Information Technology,,
2025-07-01,2025-07-02,2025-07-16,signal_horizon,9,0,TT,short,-0.05,0.05,equal_weight,1.0,-0.05,-0.0034171753021493,Industrials,,
2025-07-01,2025-07-02,2025-07-16,signal_horizon,9,0,CRM,short,-0.05,0.05,equal_weight,1.0,-0.05,-0.0033384508959183,Information Technology,,
2025-07-01,2025-07-02,2025-07-16,signal_horizon,9,0,CME,short,-0.05,0.05,equal_weight,1.0,-0.05,-0.0026288691714483,Unknown,,
2025-07-01,2025-07-02,2025-07-16,signal_horizon,9,0,PEP,short,-0.05,0.05,equal_weight,1.0,-0.05,-0.0023622057346924,Consumer Staples,,
2025-07-01,2025-07-02,2025-07-16,signal_horizon,9,0,SCHW,short,-0.05,0.05,equal_weight,1.0,-0.05,-0.0019447342880806,Financials,,
2025-07-01,2025-07-02,2025-07-16,signal_horizon,9,0,NRG,short,-0.05,0.05,equal_weight,1.0,-0.05,-0.0018243705263609,Utilities,,
2025-07-01,2025-07-02,2025-07-16,signal_horizon,9,0,BRK-B,short,-0.05,0.05,equal_weight,1.0,-0.05,-0.0017863279407757,Financials,,
2025-07-01,2025-07-02,2025-07-16,signal_horizon,9,0,GE,short,-0.05,0.05,equal_weight,1.0,-0.05,-0.0014557019375445,Industrials,,
2025-07-01,2025-07-02,2025-07-16,signal_horizon,9,0,HWM,short,-0.05,0.05,equal_weight,1.0,-0.05,-0.0013275804455411,Industrials,,
2025-07-01,2025-07-02,2025-07-16,signal_horizon,9,0,UNP,short,-0.05,0.05,equal_weight,1.0,-0.05,-0.0011590025475649,Industrials,,
2025-07-01,2025-07-02,2025-07-16,signal_horizon,9,0,WAB,short,-0.05,0.05,equal_weight,1.0,-0.05,-0.0009732439698094,Industrials,,
2025-07-01,2025-07-02,2025-07-16,signal_horizon,9,0,HON,short,-0.05,0.05,equal_weight,1.0,-0.05,-0.0008271447401867,Industrials,,
2025-07-01,2025-07-02,2025-07-16,signal_horizon,9,0,CAT,short,-0.05,0.05,equal_weight,1.0,-0.05,-0.0006562598401955,Industrials,,
2025-07-01,2025-07-02,2025-07-16,signal_horizon,9,0,BA,short,-0.05,0.05,equal_weight,1.0,-0.05,-0.0003254989000988,Industrials,,
