date,long_gross_return,short_gross_return,gross_return,transaction_cost,borrow_cost,net_return,long_exposure,short_exposure_abs,gross_exposure,net_exposure,benchmark_return,active_return_vs_equal_weight_long_only,excess_return,portfolio_nav,benchmark_nav
2025-08-11,-0.003880771189634656,0.0032712198285544613,-0.0006095513610801951,0.0,0.0,-0.0006095513610801951,1.0,1.0,2.0,0.0,-0.0028290127541141545,0.0022194613930339594,0.0022194613930339594,1.1311272996997916,1.064370506685214
2025-08-12,0.01031718692339531,-0.010211826678316062,0.00010536024507924952,0.0,0.0,0.00010536024507924952,1.0,1.0,2.0,0.0,0.012573077097271887,-0.012467716852192638,-0.012467716852192638,1.131246475549304,1.0777529191258295
2025-08-13,0.0005945102043470435,-0.003952409793479434,-0.0033578995891323897,0.004000000000000001,0.0,-0.007357899589132391,1.0,1.0,2.0,0.0,0.007640847258507835,-0.014998746847640226,-0.014998746847640226,1.1229228775716522,1.085987864563281
2025-08-14,0.0,0.0,0.0,0.004000000000000001,0.0,-0.004000000000000001,1.0,1.0,2.0,0.0,-0.004529335703935633,0.0005293357039356317,0.0005293357039356317,1.1184311860613656,1.0810690609542737
2025-08-15,-0.0034776665848760876,0.012600049693670953,0.009122383108794863,0.0,0.0,0.009122383108794863,1.0,1.0,2.0,0.0,-0.0029518736626995266,0.01207425677149439,0.01207425677149439,1.128633943821441,1.0778778816656833
2025-08-18,0.0013595851286096416,-0.0029254968080841552,-0.0015659116794745139,0.0,0.0,-0.0015659116794745139,1.0,1.0,2.0,0.0,0.0007961526599476525,-0.0023620643394221662,-0.0023620643394221662,1.1268666027469596,1.0787360370082701
2025-08-19,-0.004398750612443537,0.002356761964809196,-0.00204198864763434,0.0,0.0,-0.00204198864763434,1.0,1.0,2.0,0.0,0.0013979230197234415,-0.0034399116673577814,-0.0034399116673577814,1.124565553936752,1.0802440269466091
2025-08-20,-0.00026094352602797316,-0.00416030558119837,-0.0044212491072263445,0.0,0.0,-0.0044212491072263445,1.0,1.0,2.0,0.0,0.0007347650876667174,-0.005156014194893062,-0.005156014194893062,1.1195935694853918,1.08103775254377
2025-08-21,-0.005427692230366827,0.0018174475901698238,-0.0036102446401970025,0.0,0.0,-0.0036102446401970025,1.0,1.0,2.0,0.0,-0.0034585689521510615,-0.00015167568804594096,-0.00015167568804594096,1.115551562801958,1.077298908936719
2025-08-22,0.02007995981444282,-0.016310086230410043,0.0037698735840327744,0.0,0.0,0.0037698735840327744,1.0,1.0,2.0,0.0,0.01591903651351214,-0.012149162929479367,-0.012149162929479367,1.1197570511701918,1.0944484696040495
2025-08-25,-0.0023722759450290508,0.006745509845372583,0.004373233900343531,0.0,0.0,0.004373233900343531,1.0,1.0,2.0,0.0,-0.006859115139216135,0.011232349039559667,0.011232349039559667,1.124654010666518,1.0869415215370966
