run_name,hold_days,holding_clock,effective_holding_days,step_days,top_k,cost_bps,neutral_mode,turnover_accounting,skipped_incomplete_return_path_count,portfolio_total_return,portfolio_sharpe,first_half_total_return,second_half_total_return,top_5_net_return_days_simple_sum,bottom_5_net_return_days_simple_sum,top_5_instrument_abs_contribution_share,max_abs_selected_stock_daily_return,selected_stock_return_abs_gt_20pct_count,selected_stock_return_abs_gt_50pct_count
canonical_us300_release_v1_ls_hold20d_top10_cost50bps_sector_neutral_signal_horizon,20,signal_horizon,19,20,10,50.0,sector_neutral,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.2990006710831641,1.218076714991038,0.06754490669747,0.2168112675481899,0.210748430174094,-0.2100569938895988,0.2620453454043187,0.1755214146524037,0,0
canonical_us300_release_v1_ls_hold20d_top20_cost5bps_unconstrained_signal_horizon,20,signal_horizon,19,20,20,5.0,unconstrained,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,1.047201267131232,3.042231023813597,0.4600127533105471,0.4021804004720155,0.2297671125385658,-0.2110992100640103,0.184171259042133,0.7024765852638799,9,1
canonical_us300_release_v1_ls_hold20d_top20_cost5bps_sector_neutral_signal_horizon,20,signal_horizon,19,20,20,5.0,sector_neutral,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.515217608334718,2.29498099662445,0.2545467949722795,0.2077808611102449,0.1616156914870602,-0.1619392726345429,0.158684626715484,0.3583731788330714,3,0
canonical_us300_release_v1_ls_hold20d_top20_cost10bps_unconstrained_signal_horizon,20,signal_horizon,19,20,20,10.0,unconstrained,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.9986316705672512,2.9411421265316977,0.4425958614647987,0.3854411508832824,0.2297671125385658,-0.2130992100640103,0.184171259042133,0.7024765852638799,9,1
canonical_us300_release_v1_ls_hold20d_top20_cost10bps_sector_neutral_signal_horizon,20,signal_horizon,19,20,20,10.0,sector_neutral,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.4792771274758043,2.165689786480105,0.2395652087056976,0.1933838712853244,0.1616156914870602,-0.1629392726345429,0.158684626715484,0.3583731788330714,3,0
canonical_us300_release_v1_ls_hold20d_top20_cost20bps_unconstrained_signal_horizon,20,signal_horizon,19,20,20,20.0,unconstrained,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.9047845232822976,2.7369488444289525,0.4083321057446103,0.352510899604326,0.2297671125385658,-0.2170992100640103,0.184171259042133,0.7024765852638799,9,1
canonical_us300_release_v1_ls_hold20d_top20_cost20bps_sector_neutral_signal_horizon,20,signal_horizon,19,20,20,20.0,sector_neutral,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.4098316938897781,1.9047709438034883,0.2100928814460163,0.1650607284005181,0.1616156914870602,-0.1649392726345429,0.158684626715484,0.3583731788330714,3,0
canonical_us300_release_v1_ls_hold20d_top20_cost50bps_unconstrained_signal_horizon,20,signal_horizon,19,20,20,50.0,unconstrained,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.647907154526324,2.1162079329985115,0.3099664724816688,0.2579765888240186,0.2297671125385658,-0.2290992100640103,0.184171259042133,0.7024765852638799,9,1
canonical_us300_release_v1_ls_hold20d_top20_cost50bps_sector_neutral_signal_horizon,20,signal_horizon,19,20,20,50.0,sector_neutral,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.2197426689130286,1.1198761364542968,0.1254866442932309,0.0837469063695441,0.1616156914870602,-0.1731168684093797,0.158684626715484,0.3583731788330714,3,0
canonical_us300_release_v1_ls_hold20d_top30_cost5bps_unconstrained_signal_horizon,20,signal_horizon,19,20,30,5.0,unconstrained,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.7393672877981905,2.675679894100277,0.3085194216540321,0.3292636387464132,0.1934756134432099,-0.1983618740740109,0.1425085848694723,0.7024765852638799,11,1
canonical_us300_release_v1_ls_hold20d_top30_cost5bps_sector_neutral_signal_horizon,20,signal_horizon,19,20,30,5.0,sector_neutral,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.5233607631265207,2.6673506056629717,0.2562584364118996,0.2126173396912769,0.1470288156681964,-0.1336096338214885,0.1313205928103571,0.7024765852638799,6,1
canonical_us300_release_v1_ls_hold20d_top30_cost10bps_unconstrained_signal_horizon,20,signal_horizon,19,20,30,10.0,unconstrained,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.6981122794358745,2.5617768726440047,0.2929016589481559,0.3134117878829079,0.1934756134432099,-0.2003618740740109,0.1425085848694723,0.7024765852638799,11,1
canonical_us300_release_v1_ls_hold20d_top30_cost10bps_sector_neutral_signal_horizon,20,signal_horizon,19,20,30,10.0,sector_neutral,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.4872333297041467,2.516535356220008,0.241264121799331,0.1981602493659917,0.1470288156681964,-0.1356096338214885,0.1313205928103571,0.7024765852638799,6,1
canonical_us300_release_v1_ls_hold20d_top30_cost20bps_unconstrained_signal_horizon,20,signal_horizon,19,20,30,20.0,unconstrained,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.6183977733370118,2.331691162130944,0.2621775444335854,0.2822267203805169,0.1934756134432099,-0.2043618740740109,0.1425085848694723,0.7024765852638799,11,1
canonical_us300_release_v1_ls_hold20d_top30_cost20bps_sector_neutral_signal_horizon,20,signal_horizon,19,20,30,20.0,sector_neutral,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.4174262451387664,2.211154197710157,0.2117665027518362,0.1697189532140832,0.1470288156681964,-0.1396096338214885,0.1313205928103571,0.7024765852638799,6,1
canonical_us300_release_v1_ls_hold20d_top30_cost50bps_unconstrained_signal_horizon,20,signal_horizon,19,20,30,50.0,unconstrained,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.400198647784604,1.634627441867457,0.1739756756653692,0.1926981766389814,0.1934756134432099,-0.2163618740740109,0.1425085848694723,0.7024765852638799,11,1
canonical_us300_release_v1_ls_hold20d_top30_cost50bps_sector_neutral_signal_horizon,20,signal_horizon,19,20,30,50.0,sector_neutral,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.2263442817517811,1.2912790317662537,0.1270857296088305,0.0880665503389874,0.1470288156681964,-0.1516096338214885,0.1313205928103571,0.7024765852638799,6,1
canonical_us300_release_v1_ls_hold20d_top50_cost5bps_unconstrained_signal_horizon,20,signal_horizon,19,20,50,5.0,unconstrained,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.7159245437819637,3.5767137151287325,0.3031704880888284,0.3167306653011015,0.1471109534526335,-0.1425594976945869,0.0994926279978507,0.7024765852638799,17,1
canonical_us300_release_v1_ls_hold20d_top50_cost5bps_sector_neutral_signal_horizon,20,signal_horizon,19,20,50,5.0,sector_neutral,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.4100771849823481,2.613686007636799,0.1840883263930566,0.1908547306413324,0.1181564640753157,-0.1188442570155663,0.0941415579577741,0.7024765852638799,12,1
canonical_us300_release_v1_ls_hold20d_top50_cost10bps_unconstrained_signal_horizon,20,signal_horizon,19,20,50,10.0,unconstrained,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.6752288935690269,3.4141942720798135,0.2876209787940413,0.3010264054085338,0.1471109534526335,-0.1445594976945869,0.0994926279978507,0.7024765852638799,17,1
canonical_us300_release_v1_ls_hold20d_top50_cost10bps_sector_neutral_signal_horizon,20,signal_horizon,19,20,50,10.0,sector_neutral,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.3766265651216778,2.4310299801435633,0.1699523581540327,0.1766518145181053,0.1181564640753157,-0.1198442570155663,0.0941415579577741,0.7024765852638799,12,1
canonical_us300_release_v1_ls_hold20d_top50_cost20bps_unconstrained_signal_horizon,20,signal_horizon,19,20,50,20.0,unconstrained,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.596594987190221,3.083390088277069,0.2570309960986392,0.2701317566117795,0.1471109534526335,-0.1485594976945869,0.0994926279978507,0.7024765852638799,17,1
canonical_us300_release_v1_ls_hold20d_top50_cost20bps_sector_neutral_signal_horizon,20,signal_horizon,19,20,50,20.0,sector_neutral,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.3119924038045061,2.0611822437862997,0.1421434245996831,0.1487107271701493,0.1181564640753157,-0.1236318796336065,0.0941415579577741,0.7024765852638799,12,1
canonical_us300_release_v1_ls_hold20d_top50_cost50bps_unconstrained_signal_horizon,20,signal_horizon,19,20,50,50.0,unconstrained,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.3813521864037075,2.0776274676465794,0.1692131156773959,0.1814374709638855,0.1471109534526335,-0.1605594976945869,0.0994926279978507,0.7024765852638799,17,1
canonical_us300_release_v1_ls_hold20d_top50_cost50bps_sector_neutral_signal_horizon,20,signal_horizon,19,20,50,50.0,sector_neutral,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.135075009137239,0.9605412172828816,0.0623112426761398,0.068495713438742,0.1181564640753157,-0.1356318796336065,0.0941415579577741,0.7024765852638799,12,1
