run_name,base_run_name,predictions_path,hold_days,step_days,signal_delay_days,holding_clock,effective_holding_days,top_k,cost_bps,borrow_cost_bps,price_adjustment_mode,neutral_mode,daily_count,invested_day_count,cash_day_count,rebalance_count,portfolio_total_return,portfolio_annualized_return,portfolio_annualized_vol,portfolio_sharpe,portfolio_max_drawdown,portfolio_calmar,sharpe_definition,hit_ratio,first_half_total_return,second_half_total_return,monthly_period_count,positive_month_ratio,best_month_return,worst_month_return,top_5_net_return_days_simple_sum,bottom_5_net_return_days_simple_sum,top_5_instrument_abs_contribution_share,max_abs_selected_stock_daily_return,selected_stock_return_abs_gt_20pct_count,selected_stock_return_abs_gt_50pct_count,average_gross_turnover,average_net_turnover,average_turnover_cost_bps,total_turnover_cost,turnover_accounting,skipped_incomplete_return_path_count,total_borrow_cost,average_gross_exposure,average_net_exposure,average_max_abs_sector_net_weight,benchmark_total_return,relative_wealth_vs_equal_weight_long_only,is_short_sample_warning
canonical_us300_release_v1_ls_hold10d_top30_cost20bps_unconstrained_signal_horizon,canonical_us300_release_v1,outputs/public_us300_release_v1/test_predictions_with_actual.csv,10,10,1,signal_horizon,9,30,20.0,0.0,vendor_adjusted,unconstrained,250,250,0,25,0.6725822268483346,0.6794789982914557,0.2010343663585726,2.6819669079752857,-0.0864205023688929,7.862474524749278,"mean_daily_net_return / sample_std_daily_net_return * sqrt(252), risk_free_rate=0",0.564,0.3152438915607334,0.2716897889284755,13,0.7692307692307693,0.1342383318975282,-0.0246624505004693,0.1794287544778728,-0.1884098074832676,0.1308240144181812,0.4910926596045015,9,0,4.0,0.0,79.99999999999999,0.1999999999999999,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.0,2.0,0.0,0.104,0.327190618891692,0.2602426531955686,False
canonical_us300_release_v1_ls_hold10d_top30_cost20bps_sector_neutral_signal_horizon,canonical_us300_release_v1,outputs/public_us300_release_v1/test_predictions_with_actual.csv,10,10,1,signal_horizon,9,30,20.0,0.0,vendor_adjusted,sector_neutral,250,250,0,25,0.3481207707258094,0.3513462176146378,0.1513448396090816,2.0659975091523552,-0.0707344210263992,4.96711802424324,"mean_daily_net_return / sample_std_daily_net_return * sqrt(252), risk_free_rate=0",0.544,0.2286900050746683,0.0972017068242401,13,0.7692307692307693,0.0588222889958089,-0.0179399370230688,0.136160437661282,-0.1249449707254723,0.1164082844566837,0.4910926596045015,4,0,4.0,0.0,79.99999999999999,0.1999999999999999,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.0,2.0,0.0,0.0,0.327190618891692,0.0157702680656346,False
canonical_us300_release_v1_ls_hold10d_top30_cost50bps_unconstrained_signal_horizon,canonical_us300_release_v1,outputs/public_us300_release_v1/test_predictions_with_actual.csv,10,10,1,signal_horizon,9,30,50.0,0.0,vendor_adjusted,unconstrained,250,250,0,25,0.2369589106933241,0.2390650743830986,0.2114320210819257,1.1198280975979935,-0.0976925217342286,2.4471174470597914,"mean_daily_net_return / sample_std_daily_net_return * sqrt(252), risk_free_rate=0",0.544,0.1311452390688245,0.0935456102097089,13,0.5384615384615384,0.1072429023594698,-0.0478285304939469,0.1734287544778728,-0.1958480760282693,0.1308240144181812,0.4910926596045015,9,0,4.0,0.0,199.99999999999997,0.4999999999999999,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.0,2.0,0.0,0.104,0.327190618891692,-0.0679869996924167,False
canonical_us300_release_v1_ls_hold10d_top30_cost50bps_sector_neutral_signal_horizon,canonical_us300_release_v1,outputs/public_us300_release_v1/test_predictions_with_actual.csv,10,10,1,signal_horizon,9,30,50.0,0.0,vendor_adjusted,sector_neutral,250,250,0,25,-0.0027723136393331,-0.0027944611311658,0.1619947105851941,0.0634468966196279,-0.1145397968030697,-0.0243972942956276,"mean_daily_net_return / sample_std_daily_net_return * sqrt(252), risk_free_rate=0",0.508,0.0568243260726977,-0.0563921914378148,13,0.4615384615384615,0.0344867510648874,-0.0412665889661094,0.130160437661282,-0.1309449707254723,0.1164082844566837,0.4910926596045015,4,0,4.0,0.0,199.99999999999997,0.4999999999999999,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.0,2.0,0.0,0.0,0.327190618891692,-0.2486175895415611,False
canonical_us300_release_v1_ls_hold10d_top50_cost5bps_unconstrained_signal_horizon,canonical_us300_release_v1,outputs/public_us300_release_v1/test_predictions_with_actual.csv,10,10,1,signal_horizon,9,50,5.0,0.0,vendor_adjusted,unconstrained,250,250,0,25,0.6635540206587813,0.6703412391333434,0.1416496674433802,3.695940289315111,-0.0519816085433669,12.89573866445657,"mean_daily_net_return / sample_std_daily_net_return * sqrt(252), risk_free_rate=0",0.56,0.2953817899334925,0.2842190878290731,13,0.8461538461538461,0.1041124560761446,-0.0117739376173806,0.1380906708388373,-0.1282052736041653,0.0955005223312507,0.4910926596045015,15,0,4.000000000000002,0.0,20.00000000000001,0.05,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.0,2.0,0.0,0.0808,0.327190618891692,0.253440159219916,False
canonical_us300_release_v1_ls_hold10d_top50_cost5bps_sector_neutral_signal_horizon,canonical_us300_release_v1,outputs/public_us300_release_v1/test_predictions_with_actual.csv,10,10,1,signal_horizon,9,50,5.0,0.0,vendor_adjusted,sector_neutral,250,250,0,25,0.4209320440046928,0.4249311966711271,0.1226025928990456,2.95143552847308,-0.0546563639053786,7.774596886956659,"mean_daily_net_return / sample_std_daily_net_return * sqrt(252), risk_free_rate=0",0.524,0.2206618542041529,0.1640668864278665,13,0.8461538461538461,0.0653424867643608,-0.0085097273971372,0.1134051729646578,-0.1107963325041158,0.090116656512324,0.7024765852638799,10,1,4.000000000000002,0.0,20.00000000000001,0.05,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.0,2.0,0.0,0.0,0.327190618891692,0.0706314705503887,False
canonical_us300_release_v1_ls_hold10d_top50_cost10bps_unconstrained_signal_horizon,canonical_us300_release_v1,outputs/public_us300_release_v1/test_predictions_with_actual.csv,10,10,1,signal_horizon,9,50,10.0,0.0,vendor_adjusted,unconstrained,250,250,0,25,0.5824271528128815,0.5882479965231362,0.1423030299042865,3.3247971823952285,-0.0539082829126863,10.912015088217595,"mean_daily_net_return / sample_std_daily_net_return * sqrt(252), risk_free_rate=0",0.556,0.2634138639360739,0.2525010196444599,13,0.7692307692307693,0.0997143597188938,-0.0157125166817773,0.1370906708388373,-0.1292052736041653,0.0955005223312507,0.4910926596045015,15,0,4.000000000000002,0.0,40.00000000000002,0.1,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.0,2.0,0.0,0.0808,0.327190618891692,0.1923133951431421,False
canonical_us300_release_v1_ls_hold10d_top50_cost10bps_sector_neutral_signal_horizon,canonical_us300_release_v1,outputs/public_us300_release_v1/test_predictions_with_actual.csv,10,10,1,signal_horizon,9,50,10.0,0.0,vendor_adjusted,sector_neutral,250,250,0,25,0.351621225411592,0.3548831546556459,0.1231978791644464,2.5280763814889324,-0.0565733686439016,6.272971950626471,"mean_daily_net_return / sample_std_daily_net_return * sqrt(252), risk_free_rate=0",0.524,0.1905339859275239,0.1353067122721121,13,0.8461538461538461,0.0610931176745577,-0.0124610665855869,0.1124051729646578,-0.1117963325041158,0.090116656512324,0.7024765852638799,10,1,4.000000000000002,0.0,40.00000000000002,0.1,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.0,2.0,0.0,0.0,0.327190618891692,0.0184077601002796,False
canonical_us300_release_v1_ls_hold10d_top50_cost20bps_unconstrained_signal_horizon,canonical_us300_release_v1,outputs/public_us300_release_v1/test_predictions_with_actual.csv,10,10,1,signal_horizon,9,50,20.0,0.0,vendor_adjusted,unconstrained,250,250,0,25,0.4316343629081103,0.4357498214365882,0.1444440789802248,2.5776668417336075,-0.0577557536532661,7.544699772296128,"mean_daily_net_return / sample_std_daily_net_return * sqrt(252), risk_free_rate=0",0.544,0.2017350890337947,0.1913061172734482,13,0.7692307692307693,0.0909575982553732,-0.0235543446937381,0.1350906708388373,-0.1312052736041653,0.0955005223312507,0.4910926596045015,15,0,4.000000000000002,0.0,80.00000000000004,0.2000000000000001,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.0,2.0,0.0,0.0808,0.327190618891692,0.0786953603572311,False
canonical_us300_release_v1_ls_hold10d_top50_cost20bps_sector_neutral_signal_horizon,canonical_us300_release_v1,outputs/public_us300_release_v1/test_predictions_with_actual.csv,10,10,1,signal_horizon,9,50,20.0,0.0,vendor_adjusted,sector_neutral,250,250,0,25,0.2227934812086702,0.2247626667817992,0.1253525120888268,1.6804900440757966,-0.0604015421601504,3.7211411951346656,"mean_daily_net_return / sample_std_daily_net_return * sqrt(252), risk_free_rate=0",0.508,0.1324056852022579,0.0798192707680278,13,0.8461538461538461,0.0526325285940358,-0.0203283024549677,0.1104051729646578,-0.1137963325041158,0.090116656512324,0.7024765852638799,10,1,4.000000000000002,0.0,80.00000000000004,0.2000000000000001,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.0,2.0,0.0,0.0,0.327190618891692,-0.0786602438240571,False
